relative_path,type,visibility,faction,status,aliases
World Lore\Beastiary\Beastiary Index.md,index,gm,,complete,
World Lore\Beastiary\Fauna\Hollowkin.md,creature,gm,Hollowkin,complete,
World Lore\Beastiary\Necromutants\I - Fleshspoil.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\I - Mindspike Horror.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\I - Rift Leaper.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\I - Shardspawn Mimic.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\I - Undead Legionnaires.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\II - Moonspawned Aberrant.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\II - Necromutant.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\II - Shard Swarm.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\III - Grave Titan.md,creature,gm,Necromutants,complete,
World Lore\Beastiary\Necromutants\Necromutants Items\Boneplate Armor.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Constrictor Coil.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Grave Hammer.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Mimic Epidermis.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Mutagenic Core.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Mutation Catalyst Flask.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Necrotic Residue.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Constrictor Coil.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Convulsing Heart.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Mimic Epidermis.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Mutagenic Core.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Necrotic Residue.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Psychic Core.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Rift Node.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Synaptic Node Core.md,item,gm,Necromutants,stub,
World Lore\Beastiary\Necromutants\Necromutants Items\Organs\Venom Glands.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Psychic Core.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Rift Node.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Synaptic Node Core.md,item,gm,Necromutants,stub,
World Lore\Beastiary\Necromutants\Necromutants Items\Unreadable Nametag.md,item,gm,Necromutants,stub,
World Lore\Beastiary\Necromutants\Necromutants Items\Venom Glands.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Weapons\Boneplate Armor.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Items\Weapons\Grave Hammer.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Belzarach Bolter.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Bone Blade.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Bone Scythes.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Phase Claws.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Rotting Claws.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Necromutants\Necromutants Weapons\Shard Claws.md,item,gm,Necromutants,empty,
World Lore\Beastiary\Shard Tyranids\II - Corpse Bloom.md,creature,gm,Shard Tyranids,complete,
World Lore\Beastiary\Shard Tyranids\II - Necrogaunt.md,creature,gm,Shard Tyranids,complete,
World Lore\Beastiary\Shard Tyranids\II - Spore Wretch.md,creature,gm,Shard Tyranids,complete,
World Lore\Beastiary\Shard Tyranids\III - Ravager Husk.md,creature,gm,Shard Tyranids,complete,
World Lore\Beastiary\Shard Tyranids\III - Shardbeast.md,creature,gm,Shard Tyranids,complete,
World Lore\Beastiary\Shard Tyranids\V - Shard Devil.md,creature,gm,Shard Tyranids,complete,The Shard-Corrupted Catachan Devil
