relative_path,type,visibility,faction,status,aliases
World Lore\Places\Galaxy Map.md,index,gm,,stub,
World Lore\Places\Segmentum Ultima.md,location,gm,,complete,Ultima Segmentum
World Lore\Places\System\Bellum Eternum.md,location,gm,,complete,Bellum Eternum Prime
World Lore\Places\System\Bellum Eternum Tertius.md,location,gm,,complete,
World Lore\Places\System\Luna Tenebris.md,location,gm,,complete,
World Lore\Places\Luna Tenebris\Shard.md,in-world-doc,gm,,complete,Shard of the Dark Soul
World Lore\Places\Luna Tenebris\The Maw.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Project HELIOS SHEPHERD.md,in-world-doc,gm,,stub,
World Lore\Places\Luna Tenebris\Midnight Wraith.md,item,gm,,complete,
World Lore\Places\Luna Tenebris\Mining Settlement\House I - Helbrun Family.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\House II - Renn Collective.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\House III - Edrik Family.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\House IV - Valev Family.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\House V - Karsen Family.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\House VI - Morholt Family.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\Chapel of Saint Dravik.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\Research Facility Tenebris\Foremans Hut.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\Research Facility Tenebris\Landing Platform.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\Research Facility Tenebris\Theta Gate.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Mining Settlement\Research Facility Tenebris\Vox Relay Tower.md,location,gm,,stub,
World Lore\Places\Luna Tenebris\Research Facility\Research Facility Tenebris.md,location,gm,,complete,Tenebris Prime
World Lore\Places\Luna Tenebris\Research Facility\0_Theta Gate\Corvus Blackstar.md,item,gm,,stub,
