relative_path,type,visibility,faction,status,aliases
Published\CODEX\Archive\Logs\Miners\Journals\Aron Edrik - Journal.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Miners\Journals\Corvin Renn - Journal.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Miners\Journals\Edras Helbrun - Journal.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Miners\Journals\Ilia Valev - Milas Words.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Miners\Journals\Ilia Valev - Personal Log.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Miners\Journals\Mara Karsen - Journal.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Miners\Journals\Selene Renn - Journal.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Miners\The Renn Collective.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Operatives Reports\Mission Report - I - Nullis Helbrecht.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Operatives Reports\Mission Report - II - Vex.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Operatives Reports\Mission Report - III - Helbrecht.md,in-world-doc,player,,stub,
Published\CODEX\Archive\Logs\Operatives Reports\Mission Report - III - Slabs.md,in-world-doc,player,,complete,
Published\CODEX\Archive\Logs\Operatives Reports\Mission Report - III - Vex.md,in-world-doc,player,,complete,
Published\CODEX\Bestiary\Fleshspoil.md,creature,player,,complete,
Published\CODEX\Bestiary\Spore Wretch.md,creature,player,,complete,
Published\CODEX\Bestiary\Undead Cadaver.md,creature,player,,complete,
Published\CODEX\Bestiary\Undead Mutant.md,creature,player,,stub,
Published\CODEX\Mainframe\ADMIN - Shuttle Deployment Requisition Form.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\ADMIN-PROT - CHAPEL ANNOUNCEMENT.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\ADMIN-PROT - Habitation Block Sigma.md,in-world-doc,player,,stub,
Published\CODEX\Mainframe\LOG-PROT - CARGO SUMMARY.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\LOG-PROT - FABRICATION STATUS.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\LOG-PROT - LOGISTICA REQUISITION.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\LOG-PROT - Transit Update.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\LOG-PROT - Vehicle Manifest.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\MAINT-PROT - Manufactorum Oversight.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\MAINT-PROT - Plasma Core Operations.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\RND-PROT - Atmospheric Regulation.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\RND-PROT - CLASSIFIED PROJECT NOTICE.md,in-world-doc,player,,stub,
Published\CODEX\Mainframe\RND-PROT - DATA FRAGMENT – LOW PRIORITY.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\RND-PROT - INTERNAL COMMUNIQUÉ.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\RND-PROT - Research Update.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\RND-PROT - RESTRICTED FABRICATION SUMMARY.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - Armory Sanctum.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - Encounter Record 11-DELTA.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 1.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 2.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 3.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 4.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 5.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 6.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 7.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 8.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - INQ VU 9.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - Security Command Deck.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - SECURITY INCIDENT – MINOR.md,in-world-doc,player,,complete,
Published\CODEX\Mainframe\SEC-PROT - Subterranean Transit Watch.md,in-world-doc,player,,complete,
Published\CODEX\Security\Access Perimeter Surveillance Feeds.md,handout,player,,stub,
Published\CODEX\Security\Access Sanctioned liturgical Texts.md,handout,player,,stub,
Published\CODEX\Security\Ammo Request Form - Low Priority.md,handout,player,,stub,
Published\CODEX\Security\Atmospheric Substation Access Code.md,handout,player,,stub,
Published\CODEX\Security\Basic Medicae Supply Drop.md,handout,player,,stub,
Published\CODEX\Security\Behavioral Anomaly Report.md,handout,player,,stub,
Published\CODEX\Security\Clearance Form Recon Servoskulls.md,handout,player,,stub,
Published\CODEX\Security\Entry Hangar Observation Deck.md,handout,player,,stub,
Published\CODEX\Security\Entry Xenological Archives.md,handout,player,,stub,
Published\CODEX\Security\Field Rites of Purification.md,handout,player,,stub,
Published\CODEX\Security\Initiate devotional Chant.md,handout,player,,stub,
Published\CODEX\Security\Initiate Orbital Relay Ping Protocol.md,handout,player,,stub,
Published\CODEX\Security\Inspect Power Conduit Junction.md,handout,player,,stub,
Published\CODEX\Security\Intrafacility Transport Unit Clearance.md,handout,player,,stub,
Published\CODEX\Security\Lunar Cartography Archives.md,handout,player,,stub,
Published\CODEX\Security\Maintenance Schematics.md,handout,player,,stub,
Published\CODEX\Security\Non Critical Mission Report.md,handout,player,,stub,
Published\CODEX\Security\Non-classified Xenos Encounter Record.md,handout,player,,stub,
Published\CODEX\Security\Nullfield Carry Permit.md,handout,player,,stub,
Published\CODEX\Security\Operating Authorization Ground Crawler Class B.md,handout,player,,stub,
