relative_path,type,visibility,faction,status,aliases
Dark Adeptus Mechanicus\The Body.md,in-world-doc,gm,Dark Mechanicus,complete,
Drukhari\Drukhari Weapons\Melee\Agoniser.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Melee\Array of blades.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Melee\Djin Blade.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Melee\Pain sculptors.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Melee\Razorflail.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Melee\Venom blade.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Blast Pistol.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Blaster.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Dark lance.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Razorwing.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Shardcarbine.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Shredder.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Splinter Cannon.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Splinter Pistol.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Splinter rifle.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Stim-needler.md,item,gm,Drukhari,stub,
Drukhari\Drukhari Weapons\Ranged\Stinger pistol.md,item,gm,Drukhari,stub,
Drukhari\Index Weapons.md,index,gm,Drukhari,complete,
Drukhari\Operatives\Archon Vaelinth Sissarath.md,character,gm,Drukhari,complete,
Drukhari\Operatives\Beastmaster Kaeryth Varzhiss.md,character,gm,Drukhari,stub,
Drukhari\Operatives\Haemonculus Draszhar Tovexus.md,character,gm,Drukhari,stub,
Drukhari\Operatives\Scourge Anaris Taelqir.md,character,gm,Drukhari,stub,
Drukhari\Operatives\Succubus Yrellith Vhaxra.md,character,gm,Drukhari,stub,
Drukhari\Operatives\Sybarite Zyrane Krythorr.md,character,gm,Drukhari,stub,
Drukhari\Shards of Venom.md,faction,gm,Drukhari,complete,
Inquisition\Deathwatch\Killteam Velatum Umbra.md,faction,gm,Deathwatch,complete,
Inquisition\Ordo Xenos\Agent Cell IX-Vespera.md,unknown,gm,Inquisition,empty,
Inquisition\Ordo Xenos\Lord Inquisitor Lucius Harridan.md,character,gm,Inquisition,complete,
Inquisition\Ordo Xenos\Lord Inquisitor Seraphina Valeria.md,character,gm,Inquisition,complete,
Inquisition\Rejects\ALB-XXIII.md,character,gm,Inquisition,complete,
Inquisition\Rejects\Helbrecht Nullis.md,character,gm,Inquisition,complete,
Inquisition\Rejects\Rejects.md,index,gm,Inquisition,stub,
Inquisition\Rejects\Slabs.md,character,gm,Inquisition,complete,OGR-271
Inquisition\Rejects\Vexilia Thornkell.md,character,gm,Inquisition,complete,PSY-VEX
Miners\Chalk marks.md,item,gm,Imperial Civilians,stub,
Miners\Journals\Aron Edrik - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Corvin Renn - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Edras Helbrun - Field Report.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Ilia Valev - Milas Words.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Ilia Valev - Personal Log.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Jorren Valev - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Kael Helbrun - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Mara Karsen - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Selene Renn - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Journals\Tessa Morholt - Journal.md,in-world-doc,gm,Imperial Civilians,complete,
Miners\Mass Grave.md,unknown,gm,,empty,
Miners\Renn Key.md,item,gm,,stub,
Miners\Saint Dravik the Lantern‑Bearer of the Deep.md,character,gm,Imperial Civilians,complete,The Lantern-Bearer
Miners\The Edrik Family.md,faction,gm,Imperial Civilians,complete,
Miners\The Green Angel.md,in-world-doc,gm,Dark Angels,complete,The Angel; angel of death
Miners\The Helbrun Family.md,faction,gm,Imperial Civilians,complete,
Miners\The Karsen Family.md,faction,gm,Imperial Civilians,complete,
Miners\The Morholt Family.md,faction,gm,Imperial Civilians,complete,
Miners\The Valev Family.md,faction,gm,Imperial Civilians,complete,
Shadow Sentinels\Patrol Theta\0_Sergeant Arik Varn.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\1_Corporal Nia Drask.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\2_Medic Salla Veylan.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\3_Marksman Kael Ryn.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\4_Heavy Weapons Specialist Bronn Kade.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\5_Demolition Expert Tarek Voss.md,character,gm,Shadow Sentinels,complete,
Shadow Sentinels\Patrol Theta\6_Tech-Savant Khorvis.md,character,gm,Shadow Sentinels,complete,
