note_path,proposed_parent,is_container,flag
World Lore\Places\Segmentum Ultima.md,(none),yes,
World Lore\Places\System\Bellum Eternum.md,Segmentum Ultima,yes,
World Lore\Places\System\Bellum Eternum Tertius.md,Bellum Eternum,yes,
World Lore\Places\System\Luna Tenebris.md,Bellum Eternum Tertius,yes,
World Lore\Places\Luna Tenebris\Mining Settlement\Mining Settlement.md,Luna Tenebris,yes,CREATE
World Lore\Places\Luna Tenebris\Mining Settlement\House I - Helbrun Family.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Mining Settlement\House II - Renn Collective.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Mining Settlement\House III - Edrik Family.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Mining Settlement\House IV - Valev Family.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Mining Settlement\House V - Karsen Family.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Mining Settlement\House VI - Morholt Family.md,Mining Settlement,no,
World Lore\Places\Luna Tenebris\Research Facility\Research Facility Tenebris.md,Luna Tenebris,yes,
World Lore\Places\Luna Tenebris\Research Facility\0_Theta Gate\Foremans Hut.md,Research Facility Tenebris,no,
World Lore\Places\Luna Tenebris\Research Facility\0_Theta Gate\Landing Platform.md,Research Facility Tenebris,no,
World Lore\Places\Luna Tenebris\Research Facility\0_Theta Gate\Theta Gate.md,Research Facility Tenebris,no,
World Lore\Places\Luna Tenebris\Research Facility\0_Theta Gate\Vox Relay Tower.md,Research Facility Tenebris,no,
World Lore\Places\Luna Tenebris\Mining Settlement\Chapel of Saint Dravik.md,Luna Tenebris,no,
World Lore\Places\Luna Tenebris\The Maw.md,Luna Tenebris,no,
